year,layer,market_size_usd_billion,share_ratio,unit,currency,source_name,source_url,source_date,method_note,confidence
2022,deep_space_lunar,49.140,0.090000,billion,USD,Space Foundation The Space Report + Initial layer split hypothesis,https://www.spacefoundation.org/2024/07/18/space-foundation-releases-key-findings-from-the-space-report-2024-q2/ | docs/research/pages/research/space_research_report.html,2024-07-18,Total(primary_official): Historical value captured from Space Foundation release summary | Layer split(assumption): Assumed share for lunar and deep space development,0.475
2022,downstream_data_services,305.760,0.560000,billion,USD,Space Foundation The Space Report + Initial layer split hypothesis,https://www.spacefoundation.org/2024/07/18/space-foundation-releases-key-findings-from-the-space-report-2024-q2/ | docs/research/pages/research/space_research_report.html,2024-07-18,Total(primary_official): Historical value captured from Space Foundation release summary | Layer split(assumption): Assumed share for downstream applications and services,0.500
2022,in_orbit_services,21.840,0.040000,billion,USD,Space Foundation The Space Report + Initial layer split hypothesis,https://www.spacefoundation.org/2024/07/18/space-foundation-releases-key-findings-from-the-space-report-2024-q2/ | docs/research/pages/research/space_research_report.html,2024-07-18,Total(primary_official): Historical value captured from Space Foundation release summary | Layer split(assumption): Assumed share for debris removal and in-orbit servicing,0.475
2022,satellite_infrastructure,125.580,0.230000,billion,USD,Space Foundation The Space Report + Initial layer split hypothesis,https://www.spacefoundation.org/2024/07/18/space-foundation-releases-key-findings-from-the-space-report-2024-q2/ | docs/research/pages/research/space_research_report.html,2024-07-18,Total(primary_official): Historical value captured from Space Foundation release summary | Layer split(assumption): Assumed share for satellite manufacturing and operations,0.500
2022,transport_launch,43.680,0.080000,billion,USD,Space Foundation The Space Report + Initial layer split hypothesis,https://www.spacefoundation.org/2024/07/18/space-foundation-releases-key-findings-from-the-space-report-2024-q2/ | docs/research/pages/research/space_research_report.html,2024-07-18,Total(primary_official): Historical value captured from Space Foundation release summary | Layer split(assumption): Assumed share for launch services in baseline year,0.500
2023,deep_space_lunar,51.300,0.090000,billion,USD,Space Foundation The Space Report + Initial layer split hypothesis,https://www.spacefoundation.org/2024/07/18/space-foundation-releases-key-findings-from-the-space-report-2024-q2/ | docs/research/pages/research/space_research_report.html,2024-07-18,Total(primary_official): Historical value captured from Space Foundation release summary | Layer split(assumption): Assumed stable investment phase,0.475
2023,downstream_data_services,317.490,0.557000,billion,USD,Space Foundation The Space Report + Initial layer split hypothesis,https://www.spacefoundation.org/2024/07/18/space-foundation-releases-key-findings-from-the-space-report-2024-q2/ | docs/research/pages/research/space_research_report.html,2024-07-18,Total(primary_official): Historical value captured from Space Foundation release summary | Layer split(assumption): Assumed high contribution of downstream market,0.500
2023,in_orbit_services,25.080,0.044000,billion,USD,Space Foundation The Space Report + Initial layer split hypothesis,https://www.spacefoundation.org/2024/07/18/space-foundation-releases-key-findings-from-the-space-report-2024-q2/ | docs/research/pages/research/space_research_report.html,2024-07-18,Total(primary_official): Historical value captured from Space Foundation release summary | Layer split(assumption): Assumed early commercialization expansion,0.475
2023,satellite_infrastructure,129.390,0.227000,billion,USD,Space Foundation The Space Report + Initial layer split hypothesis,https://www.spacefoundation.org/2024/07/18/space-foundation-releases-key-findings-from-the-space-report-2024-q2/ | docs/research/pages/research/space_research_report.html,2024-07-18,Total(primary_official): Historical value captured from Space Foundation release summary | Layer split(assumption): Assumed slight efficiency gain in satellite hardware share,0.500
2023,transport_launch,46.740,0.082000,billion,USD,Space Foundation The Space Report + Initial layer split hypothesis,https://www.spacefoundation.org/2024/07/18/space-foundation-releases-key-findings-from-the-space-report-2024-q2/ | docs/research/pages/research/space_research_report.html,2024-07-18,Total(primary_official): Historical value captured from Space Foundation release summary | Layer split(assumption): Assumed gradual rise in launch demand,0.500
